0,0,0,7,1,7,2//スタートの位置
0,0,20,5,1,13,1//スタート直後のブロック
6,2,28,1,1,1,6,1//スタート直後の受電ブロック
6,0,28,1,1,1,1//スタート直後の受電ブロックの足場
0,0,38,5,1,5,7,1//スタート直後のオンオフブロック
0,0,54,5,1,11,1//1階真ん中のブロック
6,2,50,1,1,1,5//1階真ん中の電源ブロック
6,0,50,1,1,1,1//1階真ん中の電源ブロックの足場
6,2,58,1,1,1,6,2//1階真ん中の電源ブロック
6,0,58,1,1,1,1//1階真ん中の電源ブロックの足場
0,0,70,5,1,5,7,2//1階真ん中のオンオフブロック
0,0,84,5,1,9,1//1階奥のブロック
6,2,92,1,1,1,5//1階奥の電源ブロック
6,0,92,1,1,1,1//1階奥の電源ブロックの足場
2,22,28,1,1,1,4//スタートに近い所のフック
0,14,36,5,1,7,1//フック横のブロック
6,16,38,1,1,1,5//2階手前の電源ブロック
6,14,38,1,1,1,1//2階手前の電源ブロックの足場
0,14,48,5,1,1,1//2階手前の電源ブロック近くの1マスブロック
0,14,54,5,1,1,1//　　↑これの2マス開けた先のブロック
2,22,58,1,1,1,4//2堺真ん中のフック
0,14,68,5,1,9,1//　　　↑これの2マス開けた先のブロック
0,22,88,1,1,1,4//2階の奥のフック
0,14,92,5,1,3,1//奥のフック横のブロック
0,14,102,7,1,7,3//ゴールの位置
