0,0,0,7,1,7,2//スタートの位置
0,0,28,5,1,21,1//スタート直後のZ方向ブロック
6,2,34,1,1,1,5//z方向の電源ブロック
6,0,34,1,1,1,1//z方向の電源ブロックの足場
6,2,46,1,1,1,6,1//z方向の受電ブロック　//番号１
6,0,46,1,1,1,1//z方向の受電ブロックの足場
0,0,54,5,1,5,7,1//z方向のオンオフブロック//番号１
2,0,64,7,1,5,1//オンオフブロック後ろのブロック
8,2,58,1,1,1,6,3//ゴール手前の受電ブロック//番号３
8,0,58,1,1,1,1//ゴール手前の受電ブロックの足場
16,0,64,7,1,5,7,3//ゴール手前のオンオフブロック//番号３
30,0,64,7,1,5,1//ゴール手前のブロック
28,0,0,21,1,5,1//スタート直後のx方向ブロック
34,2,4,1,1,1,5//x方向の電源ブロック
34,0,4,1,1,1,1//x方向の電源ブロックの足場
46,2,4,1,1,1,6,2//x方向の受電ブロック //番号２
46,0,4,1,1,1,1//x方向の受電ブロックの足場
54,0,0,5,1,5,8,2//竜巻ブロック//番号２
24,14,0,25,1,5,1//スタート上のブロック
2,22,6,1,1,1,4//スタート上のフック
4,16,6,1,1,1,5//フック近くの電源ブロック
4,14,6,1,1,1,1//フック近くの電源ブロックの足場
16,14,18,5,1,13,1//2階のブロック
20,16,30,1,1,1,6,4//2階の受電ブロック//番号４
20,14,30,1,1,1,1//2階の受電ブロックの足場
16,14,36,5,1,5,7,4//2階のオンオフブロック//番号４
16,14,48,5,1,7,1//2階のオンオフブロック後ろのブロック
44,0,62,7,1,7,3//ゴールの位置
