0,0,0,7,1,7,2//スタートの位置
0,0,22,5,1,15,1//スタート直後のz方向ブロック
24,0,0,17,1,5,1//スタート直後のx方向ブロック
6,2,36,1,1,1,6,1//z方向に進んだ1階の受電ブロック//番号１
6,0,36,1,1,1,1//z方向に進んだ1階の受電ブロックの足場
0,0,40,5,1,3,8,1//スタートに近い竜巻ブロック//番号１
12,0,20,7,1,3,1//十字路の下
22,0,12,3,1,7,1//十字路の右
22,4,20,3,3,3,5//十字路のの中央の電源
22,0,30,3,1,7,1//十字路の左
28,0,32,3,1,3,1//左と奥をつなげる通路
22,10,20,3,3,3,1//電源上のブロック
30,2,6,1,1,1,6,2//スタートに近いx方向の受電ブロック//番号２
30,0,6,1,1,1,1//スタートに近いx方向の受電ブロックの足場
36,0,14,3,1,9,7,2//スタートに近いx方向のオンオフブロック//番号２
36,0,32,5,1,9,1//1階のオンオフブロックの後ろのブロック
30,2,40,1,1,1,6,3//1階奥の受電ブロック//番号３
30,0,40,1,1,1,1//1階奥の受電ブロックの足場
36,0,46,3,1,5,8,3//奥の竜巻ブロック//番号３
0,14,54,5,1,9,1//手前竜巻ブロックの上のブロック
6,16,62,1,1,1,6,4//2階の受電ブロック//番号４
6,14,62,1,1,1,1//2階の受電ブロックの足場
0,14,68,3,1,5,7,4//2階のオンオフブロック//番号４
21,14,78,25,1,5,1//2階奥の縦長ブロック
36,14,60,5,1,13,1//奥の竜巻ブロックの上
21,14,88,3,1,5,1//ゴール手前のブロック
21,14,100,7,1,7,3//ゴールの位置
