0,0,0,7,1,7,2//スタートの位置
0,0,18,3,1,11,1//スタート直後の長いブロック
4,2,20,1,1,1,6,1//スタート近くの受電ブロック
4,0,20,1,1,1,1//スタート近くの受電ブロックの足場
0,0,34,3,1,5,7,1//スタート近くのオンオフブロック
0,0,52,3,1,13,1//オンオフの先のブロック
4,2,60,1,1,1,6,2//一階の左にある受電ブロック
4,0,60,1,1,1,1//一階の左にある受電ブロックの足場
0,0,72,3,1,7,7,2//スタート近くのオンオフブロック
0,0,80,3,1,1,1//スタート直後の長いブロック
0,22,20,1,1,1,4//受電ブロック上のフック
0,14,10,3,1,9,1//フックの所のブロック
0,34,0,1,1,1,4,//スタート上のフック
0,26,14,3,1,11,1//一番上のフックの所のブロック
4,16,16,1,1,1,5//スタート近くの受電ブロック
4,16,16,1,1,1,5//スタート近くの電源ブロック
4,14,16,1,1,1,1//スタート近くの電源ブロックの足場
0,14,40,3,1,7,1//2階のゴール手前のブロック
0,14,54,7,1,7,2//ゴールの位置
0,14,66,3,1,5,1//2階のゴール後ろのブロック
0,22,72,1,1,1,4//ゴール後ろのフック
0,26,52,3,1,21,1//3階のゴール上のブロック
4,28,20,1,1,1,5//3階の電源ブロック
4,26,20,1,1,1,1//3階の電源ブロックの足場
